https://www.youtube.com/watch?v=qWcmlHQwYAc	tình đất
https://www.youtube.com/watch?v=TFOpmkBsRWE	tìm em câu ví sông lam
https://www.youtube.com/watch?v=lo3CU7fjris	mưa chiều miền trung
https://www.youtube.com/watch?v=Hz0fuvl-Ipo	gửi về quan họ
https://www.youtube.com/watch?v=FWmEgvt07VQ	hà tĩnh quê ơi
https://www.youtube.com/watch?v=qxMJgGzKvR8	gửi người em hà tĩnh
https://www.youtube.com/watch?v=Hj-8S8V8HGE	màu hoa đỏ
https://www.youtube.com/watch?v=yX_8dIH3-6Y	lỡ hẹn với dòng lam
https://www.youtube.com/watch?v=zcfy1U1f308	em có bằng lòng về quê mẹ cùng anh
https://www.youtube.com/watch?v=6_J0HQZM8P4	Đưa em về hà tĩnh
https://www.youtube.com/watch?v=zrargpQipnk	ca dao em và tôi
https://www.youtube.com/watch?v=fuUSIcXLtXM	em có về quảng trị với anh không
https://www.youtube.com/watch?v=Hb0QzBNi-uE	sông hiền ngày anh đến
https://www.youtube.com/watch?v=enh2EEYc_eQ	hành khúc ngày và đêm
https://www.youtube.com/watch?v=83XrYBG6x3g	nơi đảo xa
https://www.youtube.com/watch?v=JQDdPKDV_nE	câu hẹ câu thề
https://www.youtube.com/watch?v=UlwJ4lG1J9Y	đừng chờ anh nữa
https://www.youtube.com/watch?v=iptltHCnS4Y	Chỉ là không cùng nhau
https://www.youtube.com/watch?v=g-6I_w7KJLc	như phút ban đầu
https://www.youtube.com/watch?v=BMgTjVQjau4	người như anh
https://www.youtube.com/watch?v=stvWuowo1dU	e là không thể
